0 , 388.962531399 , 388.962531399
1 , 27068.1076917 , 27068.1076917
2 , 21360.1219976 , 27068.1076917
3 , 28392.7458114 , 28392.7458114
4 , 23543.052624 , 28392.7458114
5 , 25474.6194977 , 28392.7458114
6 , 134.169017423 , 28392.7458114
7 , 106.606228159 , 28392.7458114
8 , 17732.5326798 , 28392.7458114
9 , 21310.0546787 , 28392.7458114
10 , 429.292428068 , 28392.7458114
11 , 28365.838303 , 28392.7458114
12 , 26376.134915 , 28392.7458114
13 , 25183.1360691 , 28392.7458114
14 , 22365.1169968 , 28392.7458114
15 , 12641.5682217 , 28392.7458114
16 , 25333.9272188 , 28392.7458114
17 , 24065.7093185 , 28392.7458114
18 , 14119.0443964 , 28392.7458114
19 , 25992.6488876 , 28392.7458114
20 , 29177.8774887 , 29177.8774887
21 , 24201.0850557 , 29177.8774887
22 , 31067.9834567 , 31067.9834567
23 , 26453.3200172 , 31067.9834567
24 , 224.022228159 , 31067.9834567
25 , 25303.6517882 , 31067.9834567
26 , 26098.7485962 , 31067.9834567
27 , 22275.424036 , 31067.9834567
28 , 29633.8282699 , 31067.9834567
29 , 15481.9012762 , 31067.9834567
30 , 21929.4598955 , 31067.9834567
31 , 21314.3705563 , 31067.9834567
32 , 21992.7797114 , 31067.9834567
33 , 245.885690698 , 31067.9834567
34 , 111.981632503 , 31067.9834567
35 , 29841.1898214 , 31067.9834567
36 , 28633.0632979 , 31067.9834567
37 , 21147.9075949 , 31067.9834567
38 , 19232.8123425 , 31067.9834567
39 , 28657.6946628 , 31067.9834567
40 , 23683.0966079 , 31067.9834567
41 , 28943.581939 , 31067.9834567
42 , 25947.9774145 , 31067.9834567
43 , 22201.6832755 , 31067.9834567
44 , 18737.4693292 , 31067.9834567
45 , 22218.9345333 , 31067.9834567
46 , 29594.7551702 , 31067.9834567
47 , 216.336347845 , 31067.9834567
48 , 60.6842783678 , 31067.9834567
49 , 124.809644379 , 31067.9834567
50 , 25797.6099499 , 31067.9834567
51 , 23506.9584169 , 31067.9834567
52 , 25930.9542219 , 31067.9834567
53 , 25754.3414891 , 31067.9834567
54 , 21534.1019255 , 31067.9834567
55 , 13719.2428723 , 31067.9834567
56 , 26141.7148623 , 31067.9834567
57 , 26554.3507216 , 31067.9834567
58 , 25091.1352125 , 31067.9834567
59 , 21516.8442576 , 31067.9834567
60 , 16563.1850869 , 31067.9834567
61 , 368.736503094 , 31067.9834567
62 , 16159.0496461 , 31067.9834567
63 , 21856.1908759 , 31067.9834567
64 , 22609.1134847 , 31067.9834567
65 , 22217.4394444 , 31067.9834567
66 , 28880.7263291 , 31067.9834567
67 , 200.201955803 , 31067.9834567
68 , 23863.7380918 , 31067.9834567
69 , 29192.1729296 , 31067.9834567
70 , 22358.4731514 , 31067.9834567
71 , 21950.8318696 , 31067.9834567
72 , 22154.9909085 , 31067.9834567
73 , 19368.3580941 , 31067.9834567
74 , 22191.1226742 , 31067.9834567
75 , 240.524443651 , 31067.9834567
76 , 21116.0270642 , 31067.9834567
77 , 25753.3087289 , 31067.9834567
78 , 28171.5319973 , 31067.9834567
79 , 26638.6212397 , 31067.9834567
80 , 195.548582698 , 31067.9834567
81 , 70.1270445605 , 31067.9834567
82 , 11728.6375084 , 31067.9834567
83 , 26595.5964432 , 31067.9834567
84 , 125.428114653 , 31067.9834567
85 , 26727.3411121 , 31067.9834567
86 , 213.355933928 , 31067.9834567
87 , 22541.4613037 , 31067.9834567
88 , 29089.4196826 , 31067.9834567
89 , 16175.3166593 , 31067.9834567
90 , 23726.5151692 , 31067.9834567
91 , 26748.3565856 , 31067.9834567
92 , 22099.4095718 , 31067.9834567
93 , 21989.2904069 , 31067.9834567
94 , 11531.410858 , 31067.9834567
95 , 27040.8107637 , 31067.9834567
96 , 29897.7757511 , 31067.9834567
97 , 24565.5870854 , 31067.9834567
98 , 191.90236031 , 31067.9834567
99 , 25273.2876354 , 31067.9834567
100 , 170.023832569 , 31067.9834567
101 , 29117.3309941 , 31067.9834567
102 , 25314.4474434 , 31067.9834567
103 , 26261.6118 , 31067.9834567
104 , 20565.9370429 , 31067.9834567
105 , 24245.9762999 , 31067.9834567
106 , 12438.216617 , 31067.9834567
107 , 21117.6594312 , 31067.9834567
108 , 26160.8098293 , 31067.9834567
109 , 30710.5437452 , 31067.9834567
110 , 22163.5259578 , 31067.9834567
111 , 26458.4499688 , 31067.9834567
112 , 25850.8503662 , 31067.9834567
113 , 30077.4728496 , 31067.9834567
114 , 26530.8031336 , 31067.9834567
115 , 24574.0635231 , 31067.9834567
116 , 22156.150093 , 31067.9834567
117 , 15364.5924134 , 31067.9834567
118 , 18018.2033317 , 31067.9834567
119 , 26494.406058 , 31067.9834567
120 , 179.704274016 , 31067.9834567
121 , 14411.4707673 , 31067.9834567
122 , 24943.5521305 , 31067.9834567
123 , 26545.5633172 , 31067.9834567
124 , 36774.3768953 , 36774.3768953
125 , 25928.0368894 , 36774.3768953
126 , 23641.9052995 , 36774.3768953
127 , 25628.3883852 , 36774.3768953
128 , 29848.4538048 , 36774.3768953
129 , 29381.2825549 , 36774.3768953
130 , 22102.2812105 , 36774.3768953
131 , 21551.0945705 , 36774.3768953
132 , 22919.3697746 , 36774.3768953
133 , 21188.8366001 , 36774.3768953
134 , 26799.7525655 , 36774.3768953
135 , 26561.5146637 , 36774.3768953
136 , 21212.7052806 , 36774.3768953
137 , 223.034704208 , 36774.3768953
138 , 25166.0421716 , 36774.3768953
139 , 10333.8810516 , 36774.3768953
140 , 24559.0245281 , 36774.3768953
